area,region,positive,positiveJH,deaths,deathsJH,pop,cdr,cdrJH
Malta,Southern Europe,1276,,9,,442000,2.0361990950226243,
Libya,Northern Africa,7327,,139,,6871000,2.022995197205647,
Nicaragua,Central America,4115,,128,,6625000,1.9320754716981132,
Sudan,Northern Africa,12162,,793,,43849000,1.8084790987251707,
Yemen,Western Asia,1858,,528,,29826000,1.7702675518004427,
Latvia,Northern Europe,1308,,32,,1886000,1.696712619300106,
Haiti,Caribbean,7810,,192,,11403000,1.6837674296237832,
Cyprus,Western Asia,1318,,20,,1207000,1.657000828500414,
Morocco,Northern Africa,39241,,611,,36911000,1.6553330985343122,
Liberia,Western Africa,1252,,82,,5058000,1.6211941478845393,
Paraguay,South America,9022,,108,,7133000,1.514089443431936,
Cameroon,Middle Africa,18469,,401,,26546000,1.510585398930159,
Senegal,Western Africa,11872,,249,,16744000,1.487099856665074,
Australia,South America,23035,,379,,25500000,1.4862745098039216,
Guinea-Bissau,Western Africa,2088,,29,,1968000,1.4735772357723578,
Zambia,Eastern Africa,9021,,256,,18384000,1.392515230635335,
Lebanon,Western Asia,8045,,94,,6825000,1.3772893772893773,
Central African Republic,Middle Africa,4652,,61,,4830000,1.2629399585921324,
Namibia,Southern Africa,3726,,31,,2541000,1.219992129083038,
Lesotho,Southern Africa,884,,25,,2142000,1.1671335200746964,
Uruguay,South America,1421,,38,,3474000,1.0938399539435808,
Sierra Leone,Western Africa,1947,,69,,7977000,0.8649868371568259,
Kenya,Eastern Africa,29334,,465,,53771000,0.864778412155251,
Zimbabwe,Eastern Africa,5072,,128,,14863000,0.8611989504137791,
Japan,Eastern Asia,53818,,1080,,126476000,0.8539169486701035,
Malawi,Eastern Africa,4988,,156,,19130000,0.8154730789336121,
Comoros,Eastern Africa,403,,7,,870000,0.8045977011494253,
Mauritius,Eastern Africa,345,,10,,1272000,0.7861635220125786,
Cuba,Caribbean,3229,,88,,11327000,0.776904740884612,
Belize,Central America,356,,3,,398000,0.7537688442211056,
Ghana,Western Africa,41847,,223,,31073000,0.7176648537315354,
Trinidad and Tobago,Caribbean,426,,10,,1399000,0.7147962830593281,
Tajikistan,Central Asia,7989,,63,,9538000,0.6605158314111973,
Uzbekistan,Central Asia,33821,,220,,33469000,0.6573246885177328,
Mali,Western Africa,2597,,125,,20251000,0.6172534689644956,
Madagascar,Eastern Africa,13643,,164,,27691000,0.5922501895922863,
Somalia,Eastern Africa,3250,,93,,15893000,0.5851632794311962,
Slovakia,Eastern Europe,2801,,31,,5460000,0.5677655677655677,
Jamaica,Caribbean,1082,,14,,2961000,0.4728132387706856,
Nigeria,Western Africa,48445,,973,,206140000,0.4720093140584069,
Chad,Middle Africa,951,,76,,16426000,0.4626811153050042,
Singapore,South-Eastern Asia,55580,,27,,5850000,0.4615384615384615,
New Zealand,South America,1609,,22,,4822000,0.4562422231439237,
Tunisia,Northern Africa,1903,,53,,11819000,0.4484304932735426,
Ethiopia,Eastern Africa,27242,,492,,114964000,0.42796005706134094,
Georgia,Western Asia,1306,,17,,3989000,0.42617197292554526,
South Sudan,Eastern Africa,2482,,47,,11194000,0.4198677863140968,
Malaysia,South-Eastern Asia,9149,,125,,32366000,0.3862077488722734,
Guinea,Western Africa,8260,,50,,13133000,0.3807203228508338,
Nepal,Southern Asia,25551,,99,,29137000,0.33977417029893264,
China,Eastern Asia,89214,,4701,,1439324000,0.32661165936231173,
Togo,Western Africa,1124,,26,,8279000,0.31404759028868223,
Benin,Western Africa,2014,,38,,12123000,0.3134537655695785,
Niger,Western Africa,1161,,69,,24207000,0.28504151691659435,
Angola,Middle Africa,1852,,86,,32866000,0.26166859368344186,
Burkina Faso,Western Africa,1238,,54,,20903000,0.2583361240013395,
Western Sahara,Northern Africa,10,,1,,597000,0.16750418760469013,
Botswana,Southern Africa,1214,,3,,2352000,0.12755102040816327,
Fiji,Melanesia,28,,1,,896000,0.11160714285714286,
Jordan,Western Asia,1329,,11,,10203000,0.1078114280113692,
Thailand,South-Eastern Asia,3376,,58,,69800000,0.0830945558739255,
Rwanda,Eastern Africa,2293,,8,,12952000,0.061766522544780725,
Mozambique,Eastern Africa,2708,,19,,31255000,0.060790273556231005,
Sri Lanka,Southern Asia,2886,,11,,21413000,0.05137066268154859,
Papua New Guinea,Melanesia,271,,3,,8947000,0.03353079244439477,
Uganda,Eastern Africa,1385,,12,,45741000,0.026234669115235785,
Burundi,Eastern Africa,412,,1,,11891000,0.008409721638213775,
Mongolia,Eastern Asia,298,,0,,3278000,0,
Eritrea,Eastern Africa,285,,0,,3546000,0,
Cambodia,South-Eastern Asia,273,,0,,16719000,0,
Bhutan,Southern Asia,133,,0,,772000,0,
Seychelles,Eastern Africa,127,,0,,98000,0,
Saint Vincent and the Grenadines,Caribbean,57,,0,,111000,0,
Saint Lucia,Caribbean,25,,0,,184000,0,
Timor-Leste,South-Eastern Asia,25,,0,,1318000,0,
Grenada,Caribbean,24,,0,,113000,0,
Dominica,Caribbean,18,,0,,72000,0,
Saint Kitts and Nevis,Caribbean,17,,0,,53000,0,
Holy See,Southern Europe,12,,0,,1000,0,
American Samoa,Polynesia,0,,0,,55000,0,
Anguilla,Caribbean,0,,0,,15000,0,
Aruba,Caribbean,0,,0,,107000,0,
Bermuda,NORTHERN AMERICA,0,,0,,62000,0,
Bolivia (Plurinational State of),South America,0,,0,,11673000,0,
"Bonaire, Sint Eustatius and Saba",Caribbean,0,,0,,26000,0,
British Virgin Islands,Caribbean,0,,0,,30000,0,
Brunei Darussalam,South-Eastern Asia,0,,0,,437000,0,
Cayman Islands,Caribbean,0,,0,,66000,0,
Channel Islands,Northern Europe,0,,0,,174000,0,
"China, Hong Kong SAR",Eastern Asia,0,,0,,7497000,0,
"China, Macao SAR",Eastern Asia,0,,0,,649000,0,
"China, Taiwan Province of China",Eastern Asia,0,,0,,23817000,0,
Congo,Middle Africa,0,,0,,5518000,0,
Cook Islands,Polynesia,0,,0,,18000,0,
Curaçao,Caribbean,0,,0,,164000,0,
Côte d'Ivoire,Western Africa,0,,0,,26378000,0,
Dem. People's Republic of Korea,Eastern Asia,0,,0,,25779000,0,
Democratic Republic of the Congo,Middle Africa,0,,0,,89561000,0,
Falkland Islands (Malvinas),South America,0,,0,,3000,0,
Faroe Islands,Northern Europe,0,,0,,49000,0,
French Guiana,South America,0,,0,,299000,0,
French Polynesia,Polynesia,0,,0,,281000,0,
Gibraltar,Southern Europe,0,,0,,34000,0,
Greenland,NORTHERN AMERICA,0,,0,,57000,0,
Guadeloupe,Caribbean,0,,0,,400000,0,
Guam,Micronesia,0,,0,,169000,0,
Iran (Islamic Republic of),Southern Asia,0,,0,,83993000,0,
Isle of Man,Northern Europe,0,,0,,85000,0,
Kiribati,Micronesia,0,,0,,119000,0,
Lao People's Democratic Republic,South-Eastern Asia,0,,0,,7276000,0,
Marshall Islands,Micronesia,0,,0,,59000,0,
Martinique,Caribbean,0,,0,,375000,0,
Mayotte,Eastern Africa,0,,0,,273000,0,
Micronesia (Fed. States of),Micronesia,0,,0,,115000,0,
Montserrat,Caribbean,0,,0,,5000,0,
Myanmar,South-Eastern Asia,0,,0,,54410000,0,
Nauru,Micronesia,0,,0,,11000,0,
New Caledonia,Melanesia,0,,0,,285000,0,
Niue,Polynesia,0,,0,,2000,0,
Northern Mariana Islands,Micronesia,0,,0,,58000,0,
Palau,Micronesia,0,,0,,18000,0,
Puerto Rico,Caribbean,0,,0,,2861000,0,
Republic of Korea,Eastern Asia,0,,0,,51269000,0,
